fr_Nhpyrrole,fr_SH,fr_amide,fr_benzene,fr_bicyclic,fr_guanido,fr_imidazole,fr_para_hydroxylation,fr_phenol,fr_sulfide,AvgIpc,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxAbsEStateIndex,MaxEStateIndex,MinEStateIndex
0,0,4,2,0,0,0,0,1,0,3.715082867611609,0.8,1.311111111111111,1.866666666666667,13.99795505929389,13.99795505929389,-1.086013862691556
0,0,3,0,0,0,0,0,0,0,3.397432544206685,1.032258064516129,1.612903225806452,2.161290322580645,13.33164252120601,13.33164252120601,-1.079148338955129
0,0,7,1,0,0,0,0,0,1,3.867959381846895,0.8035714285714286,1.375,1.946428571428571,14.40297822311284,14.40297822311284,-1.662424866946116
0,0,8,0,0,0,0,0,0,0,3.997459534069324,0.6557377049180327,1.163934426229508,1.688524590163935,13.92798772280407,13.92798772280407,-1.712682798666884
0,0,5,0,0,0,0,0,0,0,3.014679307049227,0.5625,1.0,1.416666666666667,13.48751515533903,13.48751515533903,-1.518851423884382
0,0,8,0,0,0,0,0,0,0,3.868954952983844,0.5645161290322581,0.9516129032258065,1.387096774193548,14.25234121123994,14.25234121123994,-1.687961483276268
0,0,7,1,0,1,0,0,0,0,4.01017510736321,0.7627118644067796,1.338983050847458,1.915254237288136,13.79202570156141,13.79202570156141,-1.174394847310994
0,0,8,1,0,1,0,0,0,0,4.112266295421772,0.7164179104477612,1.253731343283582,1.791044776119403,14.32353481833625,14.32353481833625,-1.196304436937385
0,0,7,0,0,0,0,0,0,0,3.794336994844411,0.7924528301886793,1.358490566037736,1.886792452830189,13.66682617416269,13.66682617416269,-1.797512275160831
0,0,21,0,0,0,0,0,0,0,1.702359598740171,0.2867132867132867,0.5664335664335665,0.9370629370629371,15.0722054174152,15.0722054174152,-1.829834581844996
0,0,10,0,0,0,0,0,0,0,4.010612726590062,0.5774647887323944,1.056338028169014,1.535211267605634,14.26376081185352,14.26376081185352,-1.952064372541543
0,0,6,1,0,1,0,0,0,0,3.578893286770509,0.8846153846153846,1.461538461538461,2.038461538461538,13.69019853532511,13.69019853532511,-1.582926369011534
0,0,4,0,0,0,0,0,0,0,2.86998750580177,0.65,1.1,1.55,13.16204153210106,13.16204153210106,-1.557065876677169
0,0,5,0,0,0,0,0,0,0,3.231845498238972,1.0,1.575757575757576,2.090909090909091,12.58404974945289,12.58404974945289,-1.481593652893257
0,0,4,0,0,1,0,0,0,0,3.317548742185145,1.0,1.615384615384615,2.128205128205128,13.36960356827916,13.36960356827916,-1.199923053980559
1,0,4,0,0,0,1,0,0,0,3.345972902004883,0.8947368421052632,1.5,2.026315789473684,13.16400349538305,13.16400349538305,-1.171944741886813
0,0,8,0,0,0,0,0,0,0,3.892455762781592,0.6557377049180327,1.19672131147541,1.688524590163935,14.28182011680552,14.28182011680552,-1.398815752428669
0,0,24,3,0,0,0,0,0,0,1.668955709013602,0.291005291005291,0.5873015873015873,0.9735449735449735,15.16503662098191,15.16503662098191,-2.104876854665403
0,0,27,2,0,0,0,0,1,0,1.652600842550196,0.3085106382978723,0.6382978723404256,1.058510638297872,15.02946390950395,15.02946390950395,-2.181193088680979
1,0,5,0,0,1,1,0,0,0,3.930041557365029,0.9622641509433962,1.60377358490566,2.169811320754717,14.15182691651383,14.15182691651383,-1.168524470638034
1,0,3,0,0,1,1,0,0,0,3.568741715595232,1.184210526315789,1.947368421052632,2.578947368421053,13.21317718495163,13.21317718495163,-1.236335684629804
2,0,4,0,0,0,2,0,0,0,3.814843630262632,1.0,1.644444444444444,2.222222222222222,13.64736830906911,13.64736830906911,-1.273093314753304
0,0,4,0,0,0,0,0,0,0,2.657726075000167,0.84375,1.375,1.78125,12.66408815726321,12.66408815726321,-1.68146389728731
1,0,3,0,0,0,1,0,0,0,3.161681921576001,1.103448275862069,1.793103448275862,2.344827586206896,12.55426516439909,12.55426516439909,-1.203164116860906
0,0,7,2,0,0,0,0,1,0,4.064012240225294,0.65625,1.171875,1.71875,14.59264186221541,14.59264186221541,-1.188968493496124
1,0,7,0,0,0,1,0,0,0,3.541639268390929,0.7254901960784313,1.215686274509804,1.686274509803922,13.52681359021637,13.52681359021637,-1.840554681267198
0,0,8,2,0,0,0,0,1,0,4.159147242238559,0.625,1.125,1.652777777777778,14.68304914495008,14.68304914495008,-1.205698007768929
0,0,4,0,0,0,0,0,0,0,3.040866105800752,1.076923076923077,1.653846153846154,2.192307692307693,12.40897830582851,12.40897830582851,-1.29756199084572
0,0,3,0,0,0,0,0,0,0,2.980219414752477,1.291666666666667,1.916666666666667,2.416666666666667,12.38684854497354,12.38684854497354,-1.250596970269589
0,0,3,0,0,0,0,0,0,0,3.049301606174326,1.32,1.96,2.48,12.53861480125414,12.53861480125414,-1.248351791206228
0,0,14,1,0,1,0,0,1,1,1.619159468712196,0.5370370370370371,1.018518518518519,1.518518518518519,15.03815551120182,15.03815551120182,-1.963815630473218
0,0,11,1,0,1,0,0,1,1,2.477194330286219,0.6111111111111112,1.088888888888889,1.566666666666667,14.83448374611667,14.83448374611667,-1.894162850610378
0,0,18,3,0,1,0,0,2,0,1.638352187503029,0.3767123287671233,0.7397260273972602,1.184931506849315,15.03380841787757,15.03380841787757,-1.723604889794084
0,0,14,2,0,1,0,0,1,0,1.637566772059127,0.4642857142857143,0.8928571428571429,1.383928571428571,14.62810980010107,14.62810980010107,-1.64347327605653
