length,Nside,Cside,hydrophobic,G,L,P,K,dpc-AP,dpc-YP,dpc-KK,dpc-GP,dde-PH,dde-AP,dde-YP,dde-GP,asdc-AP,asdc-YP,asdc-KK,asdc-GP
5,0,12,0.6,0.0,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.0,1.877504021287143,0.0,0.0,0.1428571428571428,0.0,0.0,0.0
5,0,17,0.8,0.0,0.2,0.2,0.0,0.25,0.0,0.0,0.0,0.0,1.877504021287143,0.0,0.0,0.1428571428571428,0.0,0.0,0.0
5,0,9,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15,13,0.62,0.0,0.125,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,4,3,0.54,0.08333333333333333,0.04166666666666666,0.08333333333333333,0.125,0.04347826086956522,0.0,0.0,0.0,0.0,0.1248497571474939,0.0,0.0,0.02222222222222222,0.0,0.02222222222222222,0.0
25,9,8,0.4,0.08,0.04,0.12,0.04,0.04166666666666666,0.0,0.0,0.0,0.0,0.116569583996785,0.0,0.0,0.02127659574468085,0.0,0.0,0.0
6,14,7,0.5,0.0,0.0,0.3333333333333333,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,14,6,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,6,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16,13,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6,8,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,12,0.88,0.125,0.125,0.375,0.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,1.148205045268393,0.8003606431765009,0.0,0.07692307692307693,0.0,0.07692307692307693
6,16,13,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,7,0.89,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.9377401515398738,0.6521809953226201,0.0,0.06666666666666667,0.0,0.06666666666666667
3,13,13,0.33,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,17,13,0.67,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,13,0.67,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,13,0.54,0.0,0.0,0.2307692307692308,0.07692307692307693,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.5059745510527226,0.0,0.04347826086956522,0.04347826086956522,0.0,0.0
11,0,7,0.64,0.0,0.0,0.2727272727272727,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.6680565260140084,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0
18,19,17,0.72,0.1111111111111111,0.05555555555555555,0.2222222222222222,0.0,0.0,0.0,0.0,0.1176470588235294,0.0,0.0,0.0,0.4201377217713816,0.0,0.0,0.0,0.06060606060606061
14,9,4,0.71,0.1428571428571428,0.1428571428571428,0.2142857142857143,0.0,0.0,0.0,0.0,0.1538461538461539,0.0,0.0,0.0,0.6338833996611352,0.0,0.0,0.0,0.08
15,9,4,0.73,0.1333333333333333,0.2,0.2,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.5659404381849304,0.0,0.0,0.0,0.07407407407407407
10,17,9,0.7,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2,18,0.6,0.0,0.3333333333333333,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,9,0.39,0.0,0.1739130434782609,0.08695652173913043,0.04347826086956522,0.0,0.04545454545454546,0.0,0.0,0.0,0.0,0.1993309562376894,0.0,0.0,0.02325581395348837,0.0,0.0
23,4,15,0.57,0.08695652173913043,0.04347826086956522,0.08695652173913043,0.1304347826086956,0.04545454545454546,0.0,0.0,0.0,0.0,0.1340950949904482,0.0,0.0,0.02325581395348837,0.0,0.02325581395348837,0.0
14,11,3,0.64,0.0,0.1428571428571428,0.1428571428571428,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.3078286401727354,0.0,0.0,0.04,0.0,0.0,0.0
10,9,7,0.9,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,1.110161078994405,0.0,0.0,0.0,0.1176470588235294
13,13,7,0.54,0.0,0.0,0.2307692307692308,0.07692307692307693,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.5059745510527226,0.0,0.04347826086956522,0.04347826086956522,0.0,0.0
14,9,0,0.36,0.0,0.1428571428571428,0.07142857142857142,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13,12,0.27,0.09090909090909091,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,5,12,0.36,0.09090909090909091,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0
10,8,12,0.2,0.1,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.0
10,13,12,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9,15,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,9,17,0.79,0.1052631578947368,0.1578947368421053,0.2105263157894737,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.3847566020791888,0.0,0.0,0.0,0.05714285714285714
10,19,14,0.6,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.544128004872977,0.0,0.0,0.0,0.05882352941176471
15,19,7,0.73,0.1333333333333333,0.06666666666666667,0.2666666666666667,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.5659404381849304,0.0,0.0,0.0,0.07407407407407407
10,3,4,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4,8,0.82,0.09090909090909091,0.0,0.1818181818181818,0.09090909090909091,0.1,0.0,0.0,0.0,0.0,0.4625065378682232,0.0,0.0,0.05263157894736842,0.0,0.0,0.0
15,14,17,0.47,0.06666666666666667,0.06666666666666667,0.2,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03703703703703703
22,14,14,0.45,0.04545454545454546,0.1818181818181818,0.1363636363636364,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02439024390243903
13,19,4,0.69,0.1538461538461539,0.07692307692307693,0.2307692307692308,0.0,0.0,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,0.7163281859162193,0.0,0.0,0.0,0.08695652173913043
6,2,6,0.17,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,1.91030777304933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,7,0.33,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,19,9,0.5,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.91030777304933,0.0,0.0,0.1111111111111111,0.0,0.0
13,6,12,0.69,0.0,0.07692307692307693,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,1.025348704009186,0.0,0.0,0.0,0.04347826086956522,0.0,0.0,0.0
8,19,13,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2,17,0.36,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,19,5,0.4,0.2,0.0,0.2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2.675538471877458,0.0,0.0,0.1428571428571428,0.0,0.0
5,0,15,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15,8,0.29,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,6,15,0.33,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,16,17,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,11,0.6,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05882352941176471,0.0,0.0,0.0
